id,month,skills,has_skills,full_text,role,skill_category
48017676,2026-05,AI|Bash|JavaScript|Machine Learning|Python|Scikit-learn|TypeScript,1,"Dablam | BDR engineer | Remote or on-site in NYC or London, UK| full-time or part-time Dablam is a reputation management company that works with top companies to shape their communication, product sto",Backend Engineer,ML & AI
48017525,2026-05,Ict Project Management Methodologies,1,"Happy Returns | Engineering Manager | Remote, USA | Full-time Happy Returns is solving one of e-commerce’s biggest pain points: returns. We combine proprietary returns software with reverse logistics,",General Software Engineer,Other
47975944,2026-05,Go|Kubernetes|Python|React|TensorFlow,1,"Project Debug | General Engineer | Singapore (HYBRID) | Full-time | debug.com Project Debug raises, sorts by sex, and releases millions of (non-biting) male mosquitoes in Singapore to reduce the local",Frontend Engineer,Languages
48017490,2026-05,Unclassified,0,"At SentiLink, we stop identity fraud at scale. Our products protect banks, fintechs, marketplaces, and leading financial institutions from synthetic identity fraud, identity theft, and emerging threat",Unclassified,Other
48016223,2026-05,Ios,1,"First non-founder hire | Recover Systems | Onsite in Portland, Maine | 130-160k + meaningful equity from first option pool Recover is building the infrastructure for all restoration work, streamlining",General Software Engineer,Other
47977422,2026-05,Unclassified,0,"MONUMENTAL |  https://www.monumental.co/  | Amsterdam, The Netherlands | Full Time | Onsite We make robots that autonomously construct buildings. We are currently developing and manufacturing our auto",Unclassified,Other
48015893,2026-05,Unclassified,0,"Better Stack |  https://betterstack.com/  | /^Full-?stack Engineer$/i | Remote (North America & Europe) We are software builders at :heart: CEO is a software engineer, COO is a software engineer, and ",Unclassified,Other
48013515,2026-05,AI|AWS|Docker|Elasticsearch|JavaScript|MongoDB|Node.js|PostgreSQL|Prometheus|Python|React|Ruby|Terraform|TypeScript,1,"Location: Charleston, SC Remote: Yes Willing to relocate: Yes Technologies: Ruby, Python, JavaScript (ES6), TypeScript, React, Node.js, PostgreSQL, MongoDB, OpenSearch/Elasticsearch, AWS (ECS, EC2, VP",Frontend Engineer,ML & AI
48014076,2026-05,AI|Machine Learning,1,Unit | Senior & Staff Engineers | San Francisco | Full-time | On-site Unit is building an AI agentic video platform for personalized marketing videos. We have strong traction with enterprise customers,ML / AI Engineer,ML & AI
47975772,2026-05,Unclassified,0,"CodeWeavers | St Paul, MN, USA | Full Time | REMOTE | Wine and General Open Source Developers | C-language systems programming https://www.codeweavers.com/about/jobs CodeWeavers needs new, full-time d",Unclassified,Other
48015477,2026-05,AI,1,Clad (YC W23) | Software Engineer | NYC | withclad.com Clad is software for building physical infrastructure. We help contractors automate their back office so they can scale their business. We're a 7,General Software Engineer,ML & AI
47975951,2026-05,Rust,1,"FUTO |  https://futo.tech  | Austin, TX | Remote or Onsite | Full Time FUTO is an organization dedicated to developing, both through in-house engineering and investment, technologies that frustrate ce",General Software Engineer,Languages
48016314,2026-05,AI|Vcs,1,"Freeform ( http://freeform.co ) | Software Engineers | Full-time | Onsite | Hawthorne, CA (Los Angeles County) Freeform builds AI-native manufacturing systems that unify software, hardware, and physic",General Software Engineer,ML & AI
48012595,2026-05,AI|Machine Learning,1,"Synthesia | London, Zurich, Munich | REMOTE (DE/UK/CH/ES/IE/SI/DK/CZ/BE) Synthesia is the world’s leading AI video platform for business, used by over 90% of the Fortune 100. Founded in 2017, HQ'd in ",ML / AI Engineer,ML & AI
47976367,2026-05,AI|Scratch,1,"OpenVPN Inc. | AI Platform Engineer | REMOTE (US) | Full-time | $140,000 - $150,000 per year Come work at OpenVPN! Yes, THE OpenVPN! You'll own everything from developer tooling and internal AI workfl",General Software Engineer,ML & AI
48013457,2026-05,AI,1,"Simple Ventures | Toronto, Canada | ONSITE (3-4 days/wk) | Full-time Simple Ventures is a Canadian venture studio that builds new companies from day zero - we source ideas, validate them with real use",General Software Engineer,ML & AI
48011263,2026-05,AI|R,1,"By turning legal code into AI code, Norm enables enterprises to move faster and more comprehensively in their legal and compliance processes with reliability and trust. Norm Ai, the leading Legal & Co",Solutions Architect,ML & AI
48016274,2026-05,AWS|Django|JavaScript|PostgreSQL|Python|React|TypeScript,1,"FranklinCovey |  https://www.franklincovey.com/  | Senior Software Engineer | Remote (US) | Full-time We're in the business of leveling up managers and making workplaces great, in search of a senior s",Frontend Engineer,Cloud
48013978,2026-05,AI|Java,1,"Oscilar.com | Sr/Staff Software Engineers, PM, Data Analyst | REMOTE (US/Canada/Brazil/Poland/UK) | Full-time AI Risk Decisioning™ platform that helps organizations manage onboarding, fraud, credit, a",Backend Engineer,ML & AI
47978408,2026-05,Python,1,"Amplify Renewables | Senior Software Engineer, Data Platform | REMOTE (US; SF or Seattle a plus) | Full-Time | $150k - $250k (all cash) |  https://amplifyrenewables.com   We're a systematic energy for",Backend Engineer,Languages
47979897,2026-05,Unclassified,0,"IPinfo.io | Various Roles | Remote (Anywhere) | Fulltime / Partime / Contract |  https://ipinfo.io IPinfo is a leading provider of IP address data, including geolocation, VPN and residential proxy det",Unclassified,Other
48008420,2026-05,C#|Java|Kafka|Kotlin|Scala,1,"Fold | Remote (US Only) | Senior Back End Engineer | Full-time
Fold is a publicly listed bitcoin financial services company building the tools people need to earn, buy, sell and live on Bitcoin. We're",Backend Engineer,Languages
48012401,2026-05,AI|JavaScript|Python|TypeScript,1,"Waypoint Learning (EdTech) | Founding Engineer | NYC or Remote (US) | Full-time Students with disabilities are not receiving the support they deserve, and Waypoint is changing that. We're building AI ",Backend Engineer,ML & AI
47979377,2026-05,Unclassified,0,"Charge Robotics | Multiple Roles | Full-time | Onsite | SF Bay Area Hi HN! We’re a YC-backed, Series-A startup building robots that build large-scale solar farms. Check out a video of our first system",Unclassified,Other
48009832,2026-05,C++|Distributed Computing|Java|Rust,1,OneChronos | Systems Engineers | NYC (HQ) | Flexible and Remote Work | Full-Time We’re looking for software engineers to design and optimize high-performance trading systems that power our periodic au,Backend Engineer,Languages
47975581,2026-05,Go,1,"NetBird | Berlin, Germany | ONSITE & Remote for some roles | Full-time |  https://netbird.io We build open source secure remote access for teams and infrastructure. 25k+ stars, Series A. Our mission: ",General Software Engineer,Languages
48008674,2026-05,JavaScript|Node.js|React|Redis|TypeScript,1,"Ashby | YC 19 | REMOTE | Hiring Product Engineers | Sr: $153k-$220k, Staff: $190k-$275k
Ashby is the all-in-one recruiting platform powering hiring at the world’s most innovative companies. If you cmd",Frontend Engineer,Languages
48011496,2026-05,Canvas|Ios|Python,1,"Twindo (Formerly Canvas; The Spatial Computing Company) | Full-time | Remote At Twindo, we’re working on spatial computing - using computer vision to 3D reconstruct and understand your surroundings so",Backend Engineer,Other
48008806,2026-05,Machine Learning,1,"Acrylic Robotics | ML Lead | Montreal, QC | Onsite/Hybrid | Full-time Acrylic Robotics is a creative tech company focused on changing how people design and create art. We build software that learns a ",ML / AI Engineer,ML & AI
48002437,2026-05,AI,1,Eagle | Founding Member of Technical Staff | NYC (onsite) | Full-time | $150K–$300K + equity |  https://www.eagleeng.com We’re on a mission to radically transform the way we design and construct our b,General Software Engineer,ML & AI
48008854,2026-05,AI,1,"Transfyr | Full Stack Software Engineer | Cambridge, MA | Full-time | ONSITE Transfyr is building physical AI for science, and the world’s largest commercial dataset on real-world scientific execution",General Software Engineer,ML & AI
47977166,2026-05,AI|JavaScript|NextJS|Python|TypeScript,1,In The Loop (intheloop.engineering) | Senior Consulting Engineers | Remote (US time zones) We’re a small group of senior engineers who help non‑technical AI founders take fragile MVPs to production‑re,Frontend Engineer,ML & AI
48014519,2026-05,Machine Learning,1,Anvil | Founding Computational Geometry Engineer + Full-Stack Engineer | Greater Boston | HYBRID | Full-time | $140k-$180k + 0.5-2.5% equity We're a seed stage (VC backend) company building a vertical,ML / AI Engineer,ML & AI
47975833,2026-05,3D Modelling,1,"Deep Core Technology | Founding Engineer | REMOTE (CANADA) | Full Time | Salary: $105,000 - $125,000 CAD + 1% equity Company: We’re building a geologic modelling software, based on reasoning, to help ",General Software Engineer,Other
48014057,2026-05,AI|AWS|JavaScript|Nestjs|Pandas|Python|React|Tailwind|TypeScript,1,"Maiven | Full-Stack Engineer, UX/UI Designer, Energy Modeling Engineer | REMOTE (US) | Full-Time At Maiven Energy, we're working on real-world problems at the intersection of responsible AI and reside",Frontend Engineer,ML & AI
47985407,2026-05,AI|Go|JavaScript|R|Rust|TypeScript,1,"Axis Communications | Software Engineer - Video Management & Agentic Engineering | Linköping, Sweden (Onsite) Join a newly formed R&D team at Axis focused on rethinking how software is built using AI ",Backend Engineer,ML & AI
48008852,2026-05,Solidity,1,Category Labs |  https://www.category.xyz/  | Remote and NYC | Full Time | $200K USD+ Category Labs (formerly known as Monad Labs) is a team of systems engineers and researchers on a mission to design,General Software Engineer,Other
48014231,2026-05,AI|Go,1,"Kanmon | Senior FullStack Engineer | Hybrid (San Mateo) or REMOTE
Kanmon is built around B2B finance and it's one of the largest and most broken markets in the world. SMBs are 44% of US GDP and extend",General Software Engineer,ML & AI
47980397,2026-05,Unclassified,0,"PostHog | Full-Time | Product engineers, backend engineers, Technical Account Managers, sales leader | REMOTE (all remote) | Hiring GMT-8 to GMT+2
PostHog makes dev tools that help product engineers b",Unclassified,Other
48009523,2026-05,Computer Assisted Language Learning|Docker|MySQL|Nuxt|PHP|Vue,1,"LOCATION: Poland (EU)
REMOTE: Yes (EU/US timezones OK, based in UTC+1)
WILLING TO RELOCATE: No
TECHNOLOGIES: PHP 8, Symfony 6, Shopware 5/6, MySQL, Vue/Nuxt (headless), Docker, REST/GraphQL APIs, ERP/",Frontend Engineer,Other
47975670,2026-05,AI|Go|Kubernetes|Rust,1,"Loophole Labs | Senior Systems Engineer | REMOTE (Americas & Europe) | $150k–195k USD + equity | Go, Zig, Rust, C, eBPF, CRIU, Kubernetes We make Architect: a Kubernetes runtime that hibernates idle p",DevOps Engineer,ML & AI
47978937,2026-05,AWS,1,"Railway | Infra Eng-Storage, Infra Eng-Observability, Product Design | REMOTE (Worldwide) |  https://railway.com/careers Do you feel scared and alone when opening the AWS console? Do you wish you coul",Cloud Engineer,Cloud
47982361,2026-05,AWS|Docker|PostgreSQL|Python|S18|Terraform,1,"Enveritas (YC S18, non-profit) | Backend Software Engineer | Remote (Global) |  https://enveritas.org/jobs/ Enveritas is a 501(c)(3) nonprofit working on sustainability issues facing smallholder coffe",Backend Engineer,Cloud
47977662,2026-05,AI|JavaScript|LLM|NextJS|Python|React|TypeScript,1,Form AI | Full-Stack AI Engineer (Contract) | REMOTE (US) / Austin |  https://formai.build Form is an AI fluency/integration startup for executives & their teams. We build AI applications tailored to ,Frontend Engineer,ML & AI
47975959,2026-05,Unclassified,0,PlantingSpace | Full-time | Remote (EU time zone) + Quarterly Meet-ups |  https://planting.space We're building a system that represents domain knowledge as modular probabilistic models — making analy,Unclassified,Other
47976204,2026-05,Unclassified,0,"exe.dev | full time member of technical staff | sf bay area only competitive salary, meaningful early equity, 2 days a week in the downtown sf office come build a cloud. we are doing everything from c",Unclassified,Other
48005552,2026-05,AWS|JavaScript|Machine Learning|PostgreSQL|Python|Redis|Rust|Terraform|TypeScript,1,"ThreatMark | Security, Machine Learning | REMOTE(World) / Brno, Czech Republic | Equity ThreatMark protects >50M end users from finacial fraud and saves > $100M every year in losses. 
We are working w",Backend Engineer,Cloud
47976728,2026-05,AWS|Ansible|Go|Kubernetes|Saltstack|Terraform,1,Spacelift | Remote (Europe) | Full-time | Senior Software Engineer | $80k-$110k+ (can go higher) We're a VC-funded startup (recently raised $51M Series C) building an infrastructure orchestrator and c,DevOps Engineer,Cloud
48006671,2026-05,AI,1,"PetsApp – The future of pet care | Remote (UK) |  https://petsapp.com Open roles:
Support Engineer £30k–£55k | Full-time We're building an AI-powered clinic assistant that handles bookings, messaging,",General Software Engineer,ML & AI
47979298,2026-05,Unclassified,0,"OpenRent | London, UK | Full-Time | ONSITE+PART REMOTE |  https://www.openrent.co.uk What sucked the last time you rented a house or flat? Come and fix it. OpenRent is a force for good in an industry ",Unclassified,Other
48005990,2026-05,Unclassified,0,"N26 SE | SREs, EMs, Lead Backend Engineer | Berlin, Barcelona|  https://www.n26.com  | Full-time N26 has reimagined banking for today’s digital world. Technology and design empower everything we do an",Unclassified,Other
48009493,2026-05,AI,1,"Company: This Dot Labs
Location: REMOTE (US)
Role: Senior Frontend Engineers
Experience: 7+ years We’re growing the team at This Dot Labs and hiring 6–8 senior engineers. We’re looking for engineers w",General Software Engineer,ML & AI
48004193,2026-05,Cloud Technologies|Machine Learning|NumPy|Pandas|PyTorch|Python,1,Flow Traders | Research Engineer | Hong Kong/ London (onsite) | Full Time | Visa | Relocation Flow Traders is a leading proprietary trading firm with an entrepreneurial and innovative Tech culture at ,Backend Engineer,Other
48012147,2026-05,AWS|Django|Docker|NumPy|Pandas|Python|Redis|Tailwind|Vue,1,"SEEKING WORK | Full-Stack Developer (Django, Vue, AWS) Location: Argentina (remote-friendly, US/EU time overlap) I’m a full-stack developer with a background in finance, working mainly with Django, Vu",Frontend Engineer,Cloud
48005795,2026-05,AI|Data Engineering|Machine Learning|Python,1,"Sundogs | SWE, Data & ML | Remote CET / EST | Contract or Full time We're Sundogs, an early-stage startup (15 people) founded by ex-Googlers. We use AI and human creative expertise to transform video ",Backend Engineer,ML & AI
47980487,2026-05,AI,1,"Hyperspell | YC F25 | San Francisco, ONSITE | $150k-220k + generous equity and benefits | hyperspell.com I'm Manu, founder of Hyperspell. 14 Years ago I found my first job in tech through Who's Hiring",General Software Engineer,ML & AI
48005926,2026-05,AI,1,"EggAI | Tech Lead, AI Engineer, Senior/Lead Infra engineer/devops | REMOTE (EU, Switzerland, Norway) | Full-time or Contract Multiple roles open. We are a small boutique consultancy and are quite expe",General Software Engineer,ML & AI
48005277,2026-05,JavaScript|NextJS|Python|TypeScript,1,Deepline | NYC (ONSITE) | Founding Full-stack Engineers and Forward Deployed Engineers | $160k–$220k + meaningful equity User interfaces are dead. Knowledge workers will exclusively work through agent,Frontend Engineer,Languages
48003121,2026-05,AI|AWS|Azure|Docker|GCP|Git|Java|LLM|Machine Learning|PyTorch|Python|Scala|TensorFlow|Tools For Software Configuration Management,1,"Adobe | Forward Deployment Engineering (AI/ML)| SJ| Hybrid | Full-Time
Location: San Jose, CA (Hybrid/Onsite). As a Forward Deployed Engineer, you’ll act as a technical ambassador for Adobe—splitting ",Backend Engineer,ML & AI
48006425,2026-05,Data Analytics|Python,1,Logenta.ai | CTO | Remote (EU) We're building an agentic data analytics companion for intralogistics. Looking for a hands-on founder/CTO who can design and ship an agent-based system end-to-end. You'r,Backend Engineer,Other
48010697,2026-05,Unclassified,0,"Nylas | Product Manager, Product Marketing Manager, FP&A Analyst, BDR | REMOTE (US or Canada) | Full-Time |  https://www.nylas.com Nylas provides APIs for email, calendar, and contacts, connecting to ",Unclassified,Other
47987456,2026-05,Unclassified,0,"RINSE | REMOTE or San Francisco, Los Angeles, Chicago, Boston, New York City, New Jersey, Seattle, Austin, Toronto, or Washington DC - INTERNATIONAL OK | QA Engineer | Full-Time | Salary: $40k-$100k U",Unclassified,Other
48001984,2026-05,AI|LLM,1,SmarterDx | 150-250k+ + equity + benefits | Remote (US only) | Multiple roles |  https://smarterdx.com/careers SmarterDx builds clinical AI for one of healthcare’s most broken systems: how hospitals g,ML / AI Engineer,ML & AI
48000122,2026-05,AI|AWS|GitHub Actions|PostgreSQL,1,TrakPro | Senior Rails Engineer | REMOTE (overlap with Ireland 9–5 GMT) | €48–60k/yr We're a construction payment management SaaS based in Ireland. Main contractors and subcontractors use us to track ,Cloud Engineer,ML & AI
47977953,2026-05,AWS|PostgreSQL,1,Youth Inc | Software Engineer | ONSITE/HYBRID Boston Youth Inc. is a venture-backed commerce and media company focused on the youth and high school sports market. We’re looking for an early-career Sof,Cloud Engineer,Cloud
48004707,2026-05,Ansible|Grafana|Helm|Kafka|Kubernetes|MongoDB|Python,1,Aptira | Fully Remote AUS/NZ | Full-time | Senior SRE We're an Australian consulting company currently building out a multi region baremetal Kubernetes cluster for a client experiencing explosive grow,Backend Engineer,DevOps
47982730,2026-05,Unclassified,0,"Hammock ( https://usehammock.co/ ) | Backend Engineer, Full Stack Engineer | NYC (4 days in-person, 1 flexible) | Full-Time | $150-225k Hammock is building the first HSA/FSA that actually works for mo",Unclassified,Other
47977276,2026-05,Go|JavaScript|Kubernetes|React|TypeScript,1,"Chestnut | Senior Product Engineer | SF or Seattle (Hybrid) |  https://jobs.ashbyhq.com/Chestnut I'm Nick, CTO & co-founder. We're Rippling, but for insurance carriers paying their sales force. Every ",Frontend Engineer,Languages
47975945,2026-05,Unclassified,0,"Fortech Engineering | Full Stack Software Engineer | Primarily remote (Waterloo region, Canada) | $140-170K CAD + performance pay + earned equity Electrical and mechanical engineering consulting firm ",Unclassified,Other
48003986,2026-05,AI|Go,1,"Cora AI | Full Stack / Applied AI Engineer | REMOTE (US ONLY, LA or SF a plus) | Full-time | $190–250k + early equity Customer success agents and account intelligence layer that actually do the manual",General Software Engineer,ML & AI
47978833,2026-05,Unclassified,0,"VersaFeed.com | DIRECTOR OF BUSINESS DEVELOPMENT | REMOTE (USA ONLY) | Full-time YES, THIS IS A SALES/BIZDEV JOB ON HACKER NEWS.  WE LIKE TECHNICAL PEOPLE, WHAT CAN I SAY. About us : VersaFeed is an a",Unclassified,Other
47978287,2026-05,LLM|R,1,"Uncountable | NY, SF, London & Munich (In-Person) | Full-Stack Engineering 
 https://www.uncountable.com/hiring/hn Uncountable accelerates R&D for industrial scientists across leading materials, chemi",ML / AI Engineer,ML & AI
47975574,2026-05,AI|JavaScript|LLM|Machine Learning|Python|TypeScript,1,"Pathos AI | Senior Software / AI Engineer | NYC (hybrid, 3-4 days onsite) | Full-time | $180-200K + equity | VISA Pathos is an oncology biotech building AI as the operating system for drug development",Backend Engineer,ML & AI
47977356,2026-05,AI|Machine Learning,1,"ko-br | Robotics, Computer Vision, Imitation Learning, Reinforcement Learning Engineers & Reserchers |  https://ko-br.com  | Cairo, Egypt & London, UK We build Physical AI models deployable today in w",ML / AI Engineer,ML & AI
48010560,2026-05,AI|Spark,1,"Baseten Labs | San Francisco, New York |ONSITE, REMOTE, HYBRID | VISA SPONSORSHIP | RELOCATION SUPPORT We are Baseten, the team that powers mission-critical inference for the world’s most dynamic AI c",Data Engineer,ML & AI
47978920,2026-05,AI,1,"Hey HN! Air Space Intelligence ( https://www.airspace-intelligence.com ) is hiring. We are a frontier AI and product company for the critical industries and defense, backed by a16z. We’re rebuilding A",General Software Engineer,ML & AI
47976670,2026-05,Unclassified,0,"Sectigo | Manager, Software Development | HYBRID (Canada) Ottawa | $142k - $165k CAD per year Company Description At Sectigo, we align around our mission and pride ourselves in helping thousands of cu",Unclassified,Other
47977581,2026-05,AI|Machine Learning|PyTorch|Python|React|Xgboost,1,"River | Senior + Staff Engineers (Elixir, React, ML/AI) | SF or NYC or REMOTE (US, Europe, South America) | Full-Time | $150K-$250K + equity |  https://jobs.ashbyhq.com/river?utm_source=Zp9nJyqvd4 I'm",Frontend Engineer,ML & AI
48008275,2026-05,AI|PostgreSQL,1,"tiun ( https://tiun.io ) | Senior Marketing Engineer | Zürich or Remote (Europe) | FULL-TIME tiun is the commercial backend for SaaS, AI, and digital products: auth, payments, and customer data in one",Database Engineer,ML & AI
47975788,2026-05,Excel|Unity,1,"Normcore.io | Head of Strategic Finance | Full-time | $100-140K USD | Remote PT/ET Hours I'm the founder of Normcore.io, an autoscaling game server hosting service and Unity plugin that includes all o",General Software Engineer,Other
47978231,2026-05,.NET,1,"Triumph Financial |  https://triumph.io  | Engineer (Lead | Staff) & Staff Product Manager | REMOTE (USA only) | Full Time | $150-$300k At Triumph Financial, we’re building the modern freight payments",General Software Engineer,Backend
47975870,2026-05,GCP|JavaScript|Nestjs|PostgreSQL|SQL|TypeScript,1,Solace Health | Multiple Engineering Roles | REMOTE (US) | Full-time | No visa sponsorship offered We're hiring Typescript Engineers on all our core groups as we're poised to double the size of our 90,Backend Engineer,Cloud
47978164,2026-05,AI,1,"Pango | Senior Software Engineer - Full Stack, Technical Lead / Software Engineer | On-site (hybrid) in Stockholm, Sweden (Visa Sponsorship possible) | Full time Pango is building the world's first Ag",General Software Engineer,ML & AI
48003160,2026-05,Unclassified,0,"40GRID - Full-time Remote | Senior QA Engineer | Product Designer
Our mission is to empower field-service companies to grow by modernizing and automating their business operations. Every company we wo",Unclassified,Other
47976607,2026-05,Ruby,1,"Scholarly | Senior Software Engineer | Seattle, On-Site | Full-Time | $160k - $200k + equity + health benefits + equipment budget Scholarly is building the HR operating system for higher education. We",Backend Engineer,Languages
47977978,2026-05,Unclassified,0,"Atomic Machines is building a manufacturing platform for a new class of micromachines, here in the Bay Area. We have open roles in SW/EE/ME. My team is hiring for this role, ONSITE in Emeryville, CA:
",Unclassified,Other
47979383,2026-05,AI,1,"SwingVision is the AI tennis & pickleball app that provides automated stats, highlights, and line calling using just your phone. Our mission is to democratize the pro sports experience for all athlete",General Software Engineer,ML & AI
47977972,2026-05,AI|AWS|JavaScript|PostgreSQL|React|TypeScript,1,Instinct Science | Senior Full-Stack Engineer (Elixir + React) | REMOTE (US) | Full-Time Instinct Science is the AI leader in veterinary medicine. We build the platform that powers animal hospitals — ,Frontend Engineer,ML & AI
47977906,2026-05,AI|AWS|LLM,1,"Matterhaul | Infra Eng, AI Eng, Founding Marketer | SF (SoMa) | ONSITE (4 days/week) | Full-time | matterhaul.com Matterhaul is building an AI-native ERP for the $2T physical goods supply chain. We ar",Cloud Engineer,ML & AI
48005831,2026-05,Django|Java|Kotlin|Python,1,"Location: Remote (contract) Technologies: Kotlin (Android), Python (Django), Java, Dart (Flutter), Stripe, FHIR, Compose Multiplatform About Me: Formerly at Google and Amazon, driven by a deep passion",Backend Engineer,Backend
48011307,2026-05,Python,1,"AirOps | Engineering, GTM | SF · NYC · Montevideo Search is being rewritten — buyers ask ChatGPT, Claude, and Perplexity, and the brands cited in those answers win. AirOps is the runtime marketing tea",Backend Engineer,Languages
47978952,2026-05,AI|AWS|JavaScript|Python|React|TypeScript,1,"BillionToOne (YC S17, NASDAQ: BLLN) | Menlo Park, CA | Onsite We're a molecular diagnostics company. YC made a video of us recently:  https://www.youtube.com/watch?v=kkv5rZhrLkc . Our software team cr",Frontend Engineer,ML & AI
47991238,2026-05,Unclassified,0,"Zero Motorcycles | Engineering Manager (Firmware), Software Engineer (Cloud) | Scotts Valley, CA (Hybrid) |  https://zeromotorcycles.com/ We build electric motorcycles. Our bikes work well on their ow",Unclassified,Other
48009560,2026-05,AI|Machine Learning,1,"Capital Normal University | Beijing | Faculty/Professors in AI | ONSITE | Full-Time
The College of AI at CNU is hiring professors (Assistant to Full) in CV, NLP, and ML Theory. We offer competitive in",ML / AI Engineer,ML & AI
47977744,2026-05,AI|Data Analytics|Machine Learning,1,"Seeq |  https://seeq.com  | Staff Software Engineer (Frontend, Backend, Platform) | REMOTE (Some crossover w/ PST required) | Full-time | $170k + annual cash bonus + equity. Salary range for US-based;",ML / AI Engineer,ML & AI
48009461,2026-05,AI|AWS|Machine Learning,1,Confidential Series B fintech | Senior SRE | REMOTE (US) | Full-time We're hiring a US-based senior SRE to help support our feature teams. We are predominately an API company in the b2b fintech space.,Cloud Engineer,ML & AI
47976317,2026-05,JavaScript|Python|SQL,1,"Level 12 | Full Stack Web Developer - Python, JavaScript, SQL | Mid-Level & Senior | REMOTE | SALARY:$95K-145K+ |  https://www.level12.io/careers/ Level 12 is a software consulting and custom developm",Backend Engineer,Languages
47977138,2026-05,AI|Data Engineering,1,"Castleton Tower | Senior Consultant (Data Engineering, Investment Analytics, Strategy) | Hybrid (US) Castleton Tower is a boutique consulting firm founded by executives who have built and led quantita",Data Scientist,ML & AI
47977605,2026-05,R,1,"Longshot Systems | Multiple Senior Eng | London, UK, hybrid | Full time Longshot is at the cutting edge of sports betting modelling R&D and has been producing market beating models for a decade. We ne",General Software Engineer,Languages
47975678,2026-05,Unclassified,0,"Entex | Full-stack Dev | Remote (Worldwide) | 60 to 100 % entex is a small established Swiss IT service provider. We offer some of the classics: IT support, infrastructure, web development and high-en",Unclassified,Other
47986311,2026-05,AI|AWS|JavaScript|PyTorch|Python|TypeScript,1,Octozi | Founding Engineer | NYC (Hybrid) | Full-time |  https://www.octozi.com/ Octozi is a revenue-generating seed-stage company building AI agents for clinical development workflows. Bringing a dru,Backend Engineer,ML & AI
47975952,2026-05,AI,1,Beautiful.ai | Full-Time | Remote in US & CAN | SaaS B2B Presentation Software | Series B | 16M Funding | AI Industry 1. Account Executive | 140k - 240k USD Base Salary + Uncapped On-Target Commission,General Software Engineer,ML & AI
47984711,2026-05,AI|Go,1,"Stellar | Amsterdam, the Netherlands | Onsite (2 days remote OK) | €70-100k + equity |  https://stellarcs.ai Hey, I'm one of Stellar's founders. We're building AI for large contact centers, our primar",General Software Engineer,ML & AI
47982703,2026-05,Unclassified,0,"Prophet Town LLC | Various Software Engineering Roles | US – Remote and Hybrid | English fluency required | Full-time | $150K-$260K annual total comp (multiple) We are a people-first, boutique tech ag",Unclassified,Other
47988482,2026-05,AWS|Go|PostgreSQL|Tailwind|Terraform|Vite,1,"Yidi's Consulting | Senior Full-Stack Engineer | REMOTE (LATAM/EU time zones welcome) | Contract-to-hire | $40/hr | yidisconsulting.com We're a 4-person boutique consulting shop in Albany, NY building",DevOps Engineer,Cloud
47982238,2026-05,Azure,1,"Microsoft | Azure Deployments & Bicep Team | Senior Software Engineer | REMOTE (US-based only) The Azure Deployments & Bicep team aims to make deploying resources to Azure simple, safe, predictable, a",Cloud Engineer,Cloud
